dev,test
0.8719411,0.87463003
0.8721304,0.87428683
0.8721447,0.8746352
0.8721527,0.8693101
0.87217474,0.8671576
0.8722226,0.87153333
0.87230074,0.87572336
0.8723151,0.8712872
0.872355,0.871667
0.8723736,0.87442946
0.872401,0.8749944
0.8724301,0.8723301
0.8724402,0.87758845
0.87244475,0.87095934
0.87249565,0.8743197
0.87253326,0.87155205
0.87255085,0.87468904
0.8725602,0.87395847
0.872617,0.8706894
0.8726748,0.87086785
0.87270737,0.87235194
0.8727126,0.868364
0.87273717,0.865395
0.87279105,0.8684378
0.8728669,0.87506485
0.87289834,0.8719397
0.8729255,0.87140906
0.87293756,0.86832565
0.87294066,0.8809211
0.87301975,0.8735256
0.8730305,0.8748941
0.8730564,0.86900723
0.87309617,0.8773759
0.8730988,0.8737105
0.8731077,0.87746745
0.87311184,0.8760687
0.8731202,0.86802346
0.87313414,0.8725037
0.8731606,0.87453425
0.8731712,0.87609875
0.8732235,0.86848825
0.8732982,0.87420744
0.8733486,0.88004005
0.8733795,0.8743762
0.8734002,0.87398374
0.8734671,0.8695497
0.8734685,0.8753884
0.87347305,0.8741353
0.8734769,0.8795896
0.8735098,0.87293714
0.8735301,0.8684291
0.87363404,0.871874
0.87368923,0.87467104
0.8737479,0.87469596
0.87378,0.87558955
0.8737987,0.8733975
0.87387717,0.86758894
0.8739216,0.87163156
0.87399316,0.8716373
0.8740081,0.8767072
0.8740426,0.8730213
0.874115,0.86969036
0.87414736,0.87339324
0.87416345,0.87297255
0.87417126,0.87492955
0.874178,0.866
0.8742429,0.8737864
0.8743595,0.8744201
0.87440753,0.8810061
0.8744214,0.8714234
0.87449485,0.87109536
0.87452215,0.86954176
0.874532,0.8756712
0.87457275,0.8715098
0.8746163,0.87156963
0.8751114,0.86960775
0.87513536,0.8698587
0.87543285,0.8663415
0.8754538,0.875697
0.8756588,0.87521976
0.87573844,0.8726324
0.8758008,0.88303214
0.8759062,0.8729029
0.8759562,0.87105757
0.87602365,0.87310183
0.8761267,0.8749518
0.87617284,0.87179613
0.87625194,0.8675807
0.8762932,0.87558085
0.8763193,0.8720523
0.87639946,0.8658913
0.87650925,0.8723404
0.8770544,0.8770108
0.87711495,0.8708233
0.8774687,0.8752232
0.87766606,0.8738309
0.87771267,0.8774681
0.87775564,0.8726727
0.8778667,0.8708906
0.8779793,0.87345874
0.87804615,0.8736818
0.87820685,0.871052
0.87832475,0.8713471
0.87859404,0.8766149
0.8787097,0.8724645
0.8794614,0.8782521
0.87984294,0.8710625
0.8822615,0.87435967
